platform,app_id,source_file,source_api,source_loc,sink_file,sink_api,sink_loc,startpoint_type,flow_type
wechat,wx771410a91d6e6735,plugin_/wx8d04ad0492dab24d/components/video/video-component.js,wx.getStorageSync,154:14,plugin_/wx8d04ad0492dab24d/components/video/video-component.js,wx.setStorageSync,155:26,api.asyn,local_storage
wechat,wx7b2444f167ed73f3,components/app-hn-view/app-hn-view.js,wx.getStorageSync,157:12,components/app-hn-view/app-hn-view.js,wx.setStorageSync,167:12,api.asyn,local_storage
wechat,wx7b2444f167ed73f3,components/fb-popup/fb-popup.js,wx.chooseMedia,51:57,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wx7b2444f167ed73f3,components/jubao-popup/index.js,wx.chooseMedia,87:11,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wx7b2444f167ed73f3,pages/register/step1.js,getPhoneNumber,260:18,pages/register/step1.js,saveAsync,262:58,ui,network_request
wechat,wx7b2444f167ed73f3,pages/u/edit/edit_wenda.js,wx.chooseMedia,82:4,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wx7b2444f167ed73f3,pages/u/edit/index.js,wx.chooseMedia,719:4,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wx8576387151da636a,components/app-hn-view/app-hn-view.js,wx.getStorageSync,157:12,components/app-hn-view/app-hn-view.js,wx.setStorageSync,167:12,api.asyn,local_storage
wechat,wx8576387151da636a,components/fb-popup/fb-popup.js,wx.chooseMedia,51:57,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wx8576387151da636a,components/jubao-popup/index.js,wx.chooseMedia,87:11,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wx8576387151da636a,pages/register/step1.js,getPhoneNumber,260:18,pages/register/step1.js,saveAsync,262:58,ui,network_request
wechat,wx8576387151da636a,pages/u/edit/edit_wenda.js,wx.chooseMedia,82:4,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wx8576387151da636a,pages/u/edit/index.js,wx.chooseMedia,719:4,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wx8f5901dc7878cbb8,app.js,wx.getLaunchOptionsSync,29:18,app.js,wx.setStorageSync,29:45,api.asyn,local_storage
wechat,wx8f5901dc7878cbb8,libs/sdk-map/sdk-mp.js,a.host.getUserInfo,2432:141,libs/sdk-map/sdk-mp.js,this.sdk.request,2484:8,api.asyn,network_request
wechat,wx901a43576e652ff0,34224EF1E7B918CF524426F601F04482.js,wx.getStorageSync,3:12,34224EF1E7B918CF524426F601F04482.js,wx.setStorageSync,15:70,api.asyn,local_storage
wechat,wx901a43576e652ff0,A2495F33E7B918CFC42F373443214482.js,wx.getStorageSync,121:18,A2495F33E7B918CFC42F373443214482.js,wx.request,122:27,api.asyn,network_request
wechat,wx901a43576e652ff0,app.js,wx.getStorageSync,58:12,app.js,wx.setStorageSync,59:156,api.asyn,local_storage
wechat,wx901a43576e652ff0,pages/partysearch/partysearch.js,wx.getStorageSync,52:12,pages/partysearch/partysearch.js,wx.setStorageSync,94:4,api.asyn,local_storage
wechat,wx90266743f81c2594,packages/messages/TUIKit/components/TUIChat/components/MessageElements/Emoji/index.js,wx.getStorage,43:6,packages/messages/TUIKit/components/TUIChat/components/MessageElements/Emoji/index.js,wx.setStorage,36:10,api.asyn,local_storage
wechat,wx90266743f81c2594,services/wxprofile/index.js,wx.getUserProfile,57:72,services/wxprofile/index.js,wx.setStorageSync,61:49,api.asyn,local_storage
wechat,wx90266743f81c2594,store/user/user.js,wx.getStorageSync,112:18,store/user/user.js,wx.setStorageSync,90:24,api.asyn,local_storage
wechat,wxa588e7bb87106284,components/app-hn-view/app-hn-view.js,wx.getStorageSync,157:12,components/app-hn-view/app-hn-view.js,wx.setStorageSync,167:12,api.asyn,local_storage
wechat,wxa588e7bb87106284,components/fb-popup/fb-popup.js,wx.chooseMedia,51:57,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wxa588e7bb87106284,components/jubao-popup/index.js,wx.chooseMedia,87:11,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wxa588e7bb87106284,pages/register/step1.js,getPhoneNumber,260:18,pages/register/step1.js,saveAsync,262:58,ui,network_request
wechat,wxa588e7bb87106284,pages/u/edit/index.js,wx.chooseMedia,719:4,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wxb1a70937ee94c194,pages/home-sub-pack/plugin_/wx63af045606be281d/api/key-manager.js,wx.getStorageSync,20:25,pages/home-sub-pack/plugin_/wx63af045606be281d/api/key-manager.js,wx.setStorage,82:81,api.asyn,local_storage
wechat,wxb1a70937ee94c194,pages/home-sub-pack/plugin_/wx63af045606be281d/api/uuid-manager.js,wx.getStorageSync,3:6,pages/home-sub-pack/plugin_/wx63af045606be281d/api/uuid-manager.js,wx.setStorage,12:5,api.asyn,local_storage
wechat,wxb57627a2a7e9cb59,Pages/UserCenter/userCenter.js,wx.getUserProfile,392:4,Pages/UserCenter/userCenter.js,wx.setStorageSync,401:4,api.asyn,local_storage
wechat,wxb57627a2a7e9cb59,plugin_/wxf3f436ba9bd4be7b/lib/http_report.js,wx.getStorageSync,647:12,plugin_/wxf3f436ba9bd4be7b/lib/http_report.js,wx.request,649:6,api.asyn,network_request
wechat,wxb57627a2a7e9cb59,plugin_/wxf3f436ba9bd4be7b/lib/http_report.js,wx.getStorageSync,63:14,plugin_/wxf3f436ba9bd4be7b/lib/http_report.js,wx.setStorageSync,67:11,api.asyn,local_storage
wechat,wxb57627a2a7e9cb59,util/commit.js,wx.getStorageSync,21:53,util/commit.js,wx.request,14:4,api.asyn,network_request
wechat,wxb57627a2a7e9cb59,util/log.js,wx.getStorageSync,18:49,util/log.js,wx.request,14:8,api.asyn,network_request
wechat,wxbf81ce9e3b024432,pages/mine/myaddressEdit.js,addressInput,23:16,pages/mine/myaddressEdit.js,n.request,44:76,ui,network_request
wechat,wxbf81ce9e3b024432,pages/mine/myaddressEdit.js,nameInput,13:13,pages/mine/myaddressEdit.js,n.request,44:76,ui,network_request
wechat,wxbf81ce9e3b024432,pages/mine/myaddressEdit.js,phoneInput,18:14,pages/mine/myaddressEdit.js,n.request,44:76,ui,network_request
wechat,wxbf81ce9e3b024432,utils/x2token.js,wx.getStorageSync,14:16,utils/x2token.js,wx.request,20:8,api.asyn,network_request
wechat,wxc2ffd136a01eb4e0,components/app-hn-view/app-hn-view.js,wx.getStorageSync,157:12,components/app-hn-view/app-hn-view.js,wx.setStorageSync,167:12,api.asyn,local_storage
wechat,wxc2ffd136a01eb4e0,components/fb-popup/fb-popup.js,wx.chooseMedia,51:57,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wxc2ffd136a01eb4e0,components/jubao-popup/index.js,wx.chooseMedia,87:11,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wxc2ffd136a01eb4e0,pages/register/step1.js,getPhoneNumber,260:18,pages/register/step1.js,saveAsync,262:58,ui,network_request
wechat,wxc2ffd136a01eb4e0,pages/u/edit/edit_wenda.js,wx.chooseMedia,82:4,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wxc2ffd136a01eb4e0,pages/u/edit/index.js,wx.chooseMedia,719:4,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wxc895b3f27f64ad04,components/app-hn-view/app-hn-view.js,wx.getStorageSync,157:12,components/app-hn-view/app-hn-view.js,wx.setStorageSync,167:12,api.asyn,local_storage
wechat,wxc895b3f27f64ad04,components/fb-popup/fb-popup.js,wx.chooseMedia,51:57,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wxc895b3f27f64ad04,components/jubao-popup/index.js,wx.chooseMedia,87:11,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wxc895b3f27f64ad04,pages/register/step1.js,getPhoneNumber,260:18,pages/register/step1.js,saveAsync,262:58,ui,network_request
wechat,wxc895b3f27f64ad04,pages/u/edit/edit_wenda.js,wx.chooseMedia,82:4,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wxc895b3f27f64ad04,pages/u/edit/index.js,wx.chooseMedia,719:4,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wxc9671f10bc01c51e,pages/tabbar/recommend/main.js,wx.getStorageSync,331:24,pages/tabbar/recommend/main.js,this.utils.wxapi.request,328:17,api.asyn,network_request
wechat,wxc9671f10bc01c51e,pages/userinfo/fillinfo/main.js,wx.getStorageSync,761:24,pages/userinfo/fillinfo/main.js,this.utils.wxapi.request,758:14,api.asyn,network_request
wechat,wxcce6440ef3727704,pages/search/search.js,t.getStorageSync,220:24,pages/search/search.js,t.setStorageSync,207:165,api.asyn,local_storage
wechat,wxcdae8e058cd572cf,pages/myself/showUserInfo.js,e.getUserInfo,46:4,utils/request.js,wx.request,7:4,api.asyn,network_request
wechat,wxcf4eefaa8b8d5660,pages/base-data/base-data.js,wx.chooseImage,49:9,pages/base-data/base-data.js,wx.setStorageSync,86:23,api.asyn,local_storage
wechat,wxcf4eefaa8b8d5660,pages/comment/comment.js,sendText_Input,85:18,pages/comment/comment.js,request,112:10,ui,network_request
wechat,wxcf4eefaa8b8d5660,pages/dynamic/detail/detail.js,sendText_Input,235:18,pages/dynamic/detail/detail.js,request,258:10,ui,network_request
wechat,wxcf4eefaa8b8d5660,pages/dynamic/release/release.js,wx.chooseImage,85:4,pages/dynamic/release/release.js,uploadFile,94:10,api.asyn,file_upload
wechat,wxcf4eefaa8b8d5660,pages/my-activity/evaluate/evaluate.js,wx.chooseImage,66:4,pages/my-activity/evaluate/evaluate.js,uploadFile,75:10,api.asyn,file_upload
wechat,wxcf4eefaa8b8d5660,pages/news/group/claim/claim.js,phoneInput,116:14,pages/news/group/claim/claim.js,request,37:13,ui,network_request
wechat,wxcf4eefaa8b8d5660,pages/news/user/chat/chat.js,wx.chooseImage,368:23,pages/news/user/chat/chat.js,uploadFile,376:12,api.asyn,file_upload
wechat,wxcf4eefaa8b8d5660,pages/personal/album/album.js,wx.chooseImage,21:4,pages/personal/album/album.js,uploadFile,31:10,api.asyn,file_upload
wechat,wxcf4eefaa8b8d5660,pages/personal/autonym/autonym.js,phoneInput,123:14,pages/personal/autonym/autonym.js,request,100:13,ui,network_request
wechat,wxcf4eefaa8b8d5660,pages/personal/base-info/base-info.js,nicknameInput,108:17,pages/personal/base-info/base-info.js,request,34:88,ui,network_request
wechat,wxcf4eefaa8b8d5660,pages/personal/criteria/criteria.js,wx.getStorageSync,238:12,pages/personal/criteria/criteria.js,request,74:8,api.asyn,network_request
wechat,wxcf4eefaa8b8d5660,pages/personal/hobbies/hobbies.js,wx.getStorageSync,125:18,pages/personal/hobbies/hobbies.js,request,25:9,api.asyn,network_request
wechat,wxcf4eefaa8b8d5660,pages/personal/my-member/my-member.js,get_userInfo,176:16,pages/personal/my-member/my-member.js,request,184:8,ui,network_request
wechat,wxcf4eefaa8b8d5660,pages/personal/other-info-1/other-info-1.js,nicknameInput,202:17,pages/personal/other-info-1/other-info-1.js,request,329:8,ui,network_request
wechat,wxcf4eefaa8b8d5660,pages/personal/other-info-2/other-info-2.js,wx.getStorageSync,148:12,pages/personal/other-info-2/other-info-2.js,request,35:8,api.asyn,network_request
wechat,wxcf4eefaa8b8d5660,pages/program/sign-up/sign-up.js,wx.chooseImage,162:4,pages/program/sign-up/sign-up.js,uploadFile,171:10,api.asyn,file_upload
wechat,wxcf4eefaa8b8d5660,pages/program/sign-up/sign-up.js,codeInput,30:13,pages/program/sign-up/sign-up.js,request,89:8,ui,network_request
wechat,wxcf4eefaa8b8d5660,pages/program/sign-up/sign-up.js,nameInput,25:13,pages/program/sign-up/sign-up.js,request,89:8,ui,network_request
wechat,wxcf4eefaa8b8d5660,pages/program/sign-up/sign-up.js,phoneInput,20:14,pages/program/sign-up/sign-up.js,request,40:13,ui,network_request
wechat,wxcf4eefaa8b8d5660,pages/report/report.js,wx.chooseImage,31:4,pages/report/report.js,uploadFile,40:10,api.asyn,file_upload
wechat,wxcf4eefaa8b8d5660,pages/secret/detail/detail.js,sendText_Input,214:18,pages/secret/detail/detail.js,request,237:10,ui,network_request
wechat,wxcf4eefaa8b8d5660,pages/wallet/tixian/tixian.js,amountInput,50:15,pages/wallet/tixian/tixian.js,request,76:37,ui,network_request
wechat,wxd0ad7e76d51ae4cc,pages-vod/common-upload.js,t.getStorage,9871:31,pages-vod/common-upload.js,wx.request,9881:20,api.asyn,network_request
wechat,wxd0ad7e76d51ae4cc,pages-vod/common-upload.js,h.getStorageSync,4562:34,pages-vod/common-upload.js,h.setStorageSync,4563:74,api.asyn,local_storage
wechat,wxd11f55bff273865e,components/app-hn-view/app-hn-view.js,wx.getStorageSync,157:12,components/app-hn-view/app-hn-view.js,wx.setStorageSync,167:12,api.asyn,local_storage
wechat,wxd11f55bff273865e,components/fb-popup/fb-popup.js,wx.chooseMedia,51:57,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
wechat,wxd11f55bff273865e,components/jubao-popup/index.js,wx.chooseMedia,87:11,utils/qiniuUploader.js,wx.uploadFile,28:24,api.asyn,file_upload
